0,1,2,3,4,5,6,10
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,1
12,34,349.30065427672616,0.0,-163.96817316742388,False,False,1
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,1
0,232,223.93797320065818,0.0,-124.79826557583638,False,False,1
-4.06558188697346,1113.9344181130266,38.18722635847833,0.9987831589194451,-2.8807449627908936,False,True,1
-41.17948494512189,278.8205150548781,150.56667761838708,0.0,306.1591090101339,False,True,1
-99.72708779557344,-415.7270877955734,656.3361848930775,0.0,-179.12700232253593,False,True,1
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,1
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,1
0,24,312.32013319669244,0.0,-178.16516555652325,False,False,1
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,1
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,1
0,170,286.1850020996699,0.0,-47.13452097081224,False,False,1
0,144,248.08079072261873,0.0,-78.51210946332223,False,False,1
-6.8556931488424375,1101.1443068511576,33.86989223484484,0.9362064767470173,-17.17237735996003,False,True,1
2000,3106.0,20.897906593723707,1.0,-28.588578521520805,True,False,1
12,34,349.30065427672616,0.0,-163.96817316742388,False,False,1
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,1
0,206,221.51786995306423,0.0,-88.54728220757,False,False,1
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,1
-99.79441493966192,-435.7944149396619,676.5979788897255,0.0,-175.34718843463827,False,True,1
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,1
2,130,268.8425230337629,0.0,250.4064114005012,False,False,1
-99.72708779557344,-415.7270877955734,656.3361848930775,0.0,-179.12700232253593,False,True,1
12,34,349.30065427672616,0.0,-163.96817316742388,False,False,1
2000,3106.0,20.897906593723707,1.0,-28.588578521520805,True,False,2
12,34,349.30065427672616,0.0,-163.96817316742388,False,False,2
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,2
0,206,221.51786995306423,0.0,-88.54728220757,False,False,2
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,2
-99.79441493966192,-435.7944149396619,676.5979788897255,0.0,-175.34718843463827,False,True,2
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,2
2,130,268.8425230337629,0.0,250.4064114005012,False,False,2
-99.72708779557344,-415.7270877955734,656.3361848930775,0.0,-179.12700232253593,False,True,2
12,34,349.30065427672616,0.0,-163.96817316742388,False,False,2
2000,3106.0,20.897906593723707,1.0,-28.588578521520805,True,False,2
12,34,349.30065427672616,0.0,-163.96817316742388,False,False,2
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,2
0,206,221.51786995306423,0.0,-88.54728220757,False,False,2
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,2
-99.79441493966192,-435.7944149396619,676.5979788897255,0.0,-175.34718843463827,False,True,2
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,2
2,130,268.8425230337629,0.0,250.4064114005012,False,False,2
-99.72708779557344,-415.7270877955734,656.3361848930775,0.0,-179.12700232253593,False,True,2
12,34,349.30065427672616,0.0,-163.96817316742388,False,False,2
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,2
-99.72708779557344,-415.7270877955734,656.3361848930775,0.0,-179.12700232253593,False,True,2
0,-50,380.22191290899855,0.0,209.71333414845984,False,False,2
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,2
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,2
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,2
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,2
14,92,348.4455225161909,0.0,12.346096003681,False,False,2
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,2
0,206,226.5183567987463,0.0,82.10915600173841,False,False,2
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,3
-99.72708779557344,-415.7270877955734,656.3361848930775,0.0,-179.12700232253593,False,True,3
0,-50,380.22191290899855,0.0,209.71333414845984,False,False,3
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,3
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,3
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,3
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,3
14,92,348.4455225161909,0.0,12.346096003681,False,False,3
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,3
0,206,226.5183567987463,0.0,82.10915600173841,False,False,3
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,3
-99.72708779557344,-415.7270877955734,656.3361848930775,0.0,-179.12700232253593,False,True,3
0,-50,380.22191290899855,0.0,209.71333414845984,False,False,3
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,3
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,3
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,3
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,3
14,92,348.4455225161909,0.0,12.346096003681,False,False,3
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,3
0,206,226.5183567987463,0.0,82.10915600173841,False,False,3
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,3
-99.72708779557344,-415.7270877955734,656.3361848930775,0.0,-179.12700232253593,False,True,3
0,20,314.95879095526095,0.0,-178.18054260022538,False,False,3
0,-140,466.4446888956162,0.0,-186.62734311199574,False,False,3
0,370,131.46125589431801,0.0,103.00227619504095,False,False,3
-5.788663098960718,1102.2113369010392,37.46908192096522,0.8967616264913563,-15.479091607275862,False,True,3
0,-34,360.0072496768185,0.0,-184.7216266393423,False,False,3
0,-26,352.2009959307639,0.0,-171.0669977150769,False,False,3
0,-48,377.7383988857501,0.0,204.99688498160208,False,False,3
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,3
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,4
-99.72708779557344,-415.7270877955734,656.3361848930775,0.0,-179.12700232253593,False,True,4
0,20,314.95879095526095,0.0,-178.18054260022538,False,False,4
0,-140,466.4446888956162,0.0,-186.62734311199574,False,False,4
0,370,131.46125589431801,0.0,103.00227619504095,False,False,4
-5.788663098960718,1102.2113369010392,37.46908192096522,0.8967616264913563,-15.479091607275862,False,True,4
0,-34,360.0072496768185,0.0,-184.7216266393423,False,False,4
0,-26,352.2009959307639,0.0,-171.0669977150769,False,False,4
0,-48,377.7383988857501,0.0,204.99688498160208,False,False,4
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,4
0,0,325.1538097577822,0.0,-178.23760897633952,False,False,4
-99.72708779557344,-415.7270877955734,656.3361848930775,0.0,-179.12700232253593,False,True,4
0,20,314.95879095526095,0.0,-178.18054260022538,False,False,4
0,-140,466.4446888956162,0.0,-186.62734311199574,False,False,4
0,370,131.46125589431801,0.0,103.00227619504095,False,False,4
