8,9,0,1,2,3,4,5,6,7
4,40,20,240,205.69518002197074,0.0,-2.3727903964262125,False,False,False
4,50,22,510,64.71049159610321,0.6205552849488554,337.6513251576476,False,False,False
4,58,-28.54454300731654,1007.4554569926835,40.91690482311654,0.997808619430241,217.2386642921835,False,True,True
5,10,6,26,311.9605073563775,0.0,-357.8853132492447,False,False,False
5,20,24,184,233.04207347250852,0.0,-352.03856976489857,False,False,False
5,30,6,348,150.49778500601323,0.0,-345.4923338942953,False,False,False
5,40,4,360,144.40819303359518,0.0,-345.4837313368989,False,False,False
5,50,20,456,95.46782208696953,0.32018504991477964,-344.3146074752403,False,False,False
5,59,-24.659599386500556,1019.3404006134995,28.554068338782944,0.9990236758603857,139.3867360561193,False,True,True
6,10,6,26,311.96137373063664,0.0,-357.73328865425924,False,False,False
6,20,24,182,233.10586656228003,0.0,-348.62771489754266,False,False,False
6,30,8,354,146.6247798033339,0.0,-340.128518393768,False,False,False
6,40,8,392,127.0378016404694,0.00876765708718948,-337.4797852750243,False,False,False
6,50,8,440,101.58283090385966,0.28839133609150647,-334.4458943382902,False,False,False
6,60,2,1063.9999999999998,38.313136870690755,1.0,56.04128751486272,False,False,False
6,68,2000,3066.0,32.0497348209181,1.0,96.29978912078646,True,False,True
7,10,8,28,311.9600719270488,0.0,-357.9223319647584,False,False,False
7,20,24,184,233.03148304965794,0.0,-352.9169094631307,False,False,False
7,30,28,474,86.48748712197192,0.4003896736483195,9.417109376709698,False,False,False
7,39,-28.631489014860012,1019.36851098514,36.64880305874391,0.9936755047433714,172.7991558116781,False,True,True
8,10,8,28,311.96048455551903,0.0,-357.99324375615953,False,False,False
8,20,24,184,232.9097090790574,0.0,-354.4612915681897,False,False,False
8,30,12,392,129.1265121038274,0.0,6.041624436376239,False,False,False
8,40,0,438,105.56738060083755,0.18719571567672832,5.520824932483178,False,False,False
8,50,500.0,1050.0,14.73635546486001,1.0,5.898748684725232,False,False,False
8,55,-25.935256716616795,1024.0647432833832,28.089926206469343,0.9883211678832117,174.8231962327473,False,True,True
9,10,6,26,311.9629491022404,0.0,-356.8925528047759,False,False,False
9,20,8,138,256.454285844332,0.0,-348.33769054819976,False,False,False
9,30,16,194,227.72346483443707,0.0,-348.660419851239,False,False,False
9,40,6,314,167.66328702706699,0.0,6.00716653792024,False,False,False
9,50,20,380,135.85795252347847,0.0,2.6529561196583926,False,False,False
9,60,-2,518,48.816379680484225,0.8089559503528839,235.2263276035839,False,False,False
9,63,-38.761432725041914,465.2385672749581,72.9798160964054,0.46859785783836416,208.13042318347632,False,True,True
10,10,6,26,311.9628315334832,0.0,-357.49177138623577,False,False,False
10,20,4,118,265.7982141493786,0.0,-354.3385998274186,False,False,False
10,30,8,140,255.00813408634647,0.0,-354.9376487403909,False,False,False
10,40,28,342,153.6438244132785,0.0,-350.11229074507344,False,False,False
10,50,0,1046.0,14.567150897491938,1.0,63.262446133610815,False,False,False
10,53,-27.846603960833267,1018.1533960391668,35.78626088286737,0.9281714146579011,156.28500120473697,False,True,True
11,10,8,28,311.95898733541327,0.0,1.0933458209483917,False,False,False
11,20,24,184,232.90644213280035,0.0,-354.2254480140195,False,False,False
11,30,28,476,86.27552432156128,0.3885102239532619,6.967508819601225,False,False,False
11,40,2,1050.0,13.245175273442245,1.0,151.661895334144,False,False,False
11,45,2000,3050.0,22.644230832644187,1.0,162.39269207136712,True,False,True
12,10,4,8,321.1358965045478,0.0,-358.08229016163574,False,False,False
12,20,30,176,236.93088794943762,0.0,-352.07994463080405,False,False,False
12,30,14,388,129.19329048135722,0.0,-339.3554079514583,False,False,False
12,40,6,440,103.00352645292185,0.250852411105699,-335.02149521879016,False,False,False
12,50,0,488,74.60710078350044,0.6004872107186358,-323.94187609647236,False,False,False
12,60,683.3333333333333,1201.3333333333333,44.12831257349605,1.0,58.5807701743899,False,False,False
12,70,0,1205.3333333333333,40.64578749733281,1.0,67.57948169971029,False,False,False
12,76,2000,3205.333333333333,39.99376658529294,1.0,70.16013025399948,True,False,True
13,10,6,26,311.96037484045075,0.0,-357.6726378780881,False,False,False
13,20,24,184,232.93854932403605,0.0,-353.72269606489124,False,False,False
13,30,16,416,116.61110846633215,0.05941076211346481,-2.6911038338181292,False,False,False
13,40,0,474,86.77150001427525,0.3818447310781212,-9.281181538844404,False,False,False
13,50,10,510,67.52218600772802,0.580472364256148,-14.331128776959337,False,False,False
13,60,4,534,49.519505594740885,0.784027270513757,336.94415699797196,False,False,False
13,70,2,1168.6666666666672,22.411640029157258,1.0,294.1828837584308,False,False,False
13,76,2000,3168.666666666667,22.346882862239976,1.0,293.6396691578581,True,False,True
14,10,6,26,311.96183628436273,0.0,-357.40287947545363,False,False,False
14,20,0,92,278.1664337866533,0.0,-356.4116289021523,False,False,False
14,30,12,212,219.2295562722187,0.0,1.790795665523489,False,False,False
14,40,4,268,191.31150146536763,0.0,-3.431312577123822,False,False,False
